iter	Passed	Remaining
0	158	158375
1	259	129541
2	344	114390
3	451	112469
4	542	107915
5	628	104088
6	739	104863
7	825	102343
8	912	100458
9	1016	100645
10	1101	98990
11	1186	97690
12	1294	98274
13	1379	97178
14	1465	96238
15	1574	96861
16	1659	95934
17	1743	95090
18	1882	97207
19	2118	103809
20	2296	107038
21	2427	107932
22	2520	107061
23	2620	106556
24	2729	106468
25	2815	105479
26	2900	104521
27	3009	104469
28	3095	103641
29	3179	102813
30	3310	103473
31	3487	105487
32	3641	106709
33	3730	105997
34	3816	105220
35	3919	104952
36	4003	104206
37	4085	103415
38	4190	103257
39	4277	102670
40	4361	102007
41	4469	101939
42	4550	101277
43	4636	100746
44	4743	100671
45	4830	100174
46	4915	99659
47	5036	99897
48	5232	101554
49	5377	102181
50	5538	103059
51	5644	102905
52	5731	102417
53	5818	101929
54	5930	101900
55	6015	101400
56	6096	100860
57	6200	100710
58	6315	100719
59	6480	101522
60	6677	102782
61	6786	102666
62	6869	102174
63	6964	101855
64	7069	101691
65	7153	101228
66	7238	100800
67	7393	101334
68	7542	101770
69	7642	101535
70	7727	101114
71	7851	101197
72	8028	101944
73	8142	101893
74	8231	101519
75	8313	101069
76	8456	101373
77	8613	101815
78	8715	101606
79	8798	101178
80	8958	101645
81	9080	101652
82	9171	101330
83	9304	101464
84	9454	101779
85	9537	101365
86	9619	100945
87	9732	100868
88	9816	100483
89	9901	100117
90	10013	100027
91	10098	99664
92	10192	99406
93	10310	99379
94	10414	99213
95	10508	98950
96	10617	98838
97	10712	98595
98	10807	98358
99	10924	98323
100	11018	98073
101	11106	97778
102	11214	97663
103	11298	97344
104	11395	97133
105	11514	97110
106	11616	96947
107	11796	97431
108	11999	98083
109	12172	98484
110	12360	98998
111	12541	99433
112	12712	99787
113	12892	100196
114	13020	100201
115	13223	100775
116	13338	100667
117	13446	100507
118	13596	100659
119	13690	100399
120	13803	100274
121	13875	99860
122	13996	99793
123	14080	99469
124	14167	99173
125	14282	99068
126	14366	98753
127	14449	98438
128	14551	98249
129	14643	97998
130	14737	97765
131	14848	97638
132	14932	97343
133	15012	97023
134	15114	96844
135	15205	96600
136	15282	96270
137	15393	96154
138	15468	95814
139	15564	95612
140	15718	95762
141	15867	95877
142	16061	96255
143	16159	96059
144	16243	95781
145	16364	95721
146	16447	95442
147	16612	95634
148	16719	95489
149	16802	95212
150	16915	95110
151	16993	94807
152	17075	94529
153	17167	94307
154	17269	94149
155	17369	93975
156	17468	93798
157	17553	93544
158	17670	93464
159	17753	93205
160	17836	92951
161	17974	92981
162	18177	93341
163	18288	93228
164	18363	92932
165	18485	92870
166	18654	93051
167	18757	92893
168	18850	92691
169	18991	92722
170	19162	92901
171	19266	92746
172	19346	92482
173	19518	92656
174	19649	92633
175	19742	92429
176	19896	92514
177	20072	92693
178	20154	92440
179	20241	92210
180	20380	92220
181	20510	92182
182	20587	91910
183	20736	91960
184	20906	92101
185	20994	91878
186	21067	91593
187	21213	91624
188	21340	91572
189	21422	91329
190	21579	91400
191	21727	91436
192	21806	91180
193	21901	90994
194	22031	90948
195	22132	90788
196	22207	90522
197	22347	90520
198	22535	90707
199	22643	90574
200	22721	90319
201	22818	90144
202	22970	90184
203	23047	89930
204	23132	89710
205	23236	89560
206	23389	89601
207	23522	89568
208	23721	89777
209	23884	89852
210	23981	89675
211	24101	89584
212	24268	89667
213	24454	89819
214	24581	89752
215	24708	89683
216	24862	89712
217	24997	89669
218	25087	89466
219	25159	89202
220	25276	89096
221	25461	89230
222	25623	89280
223	25808	89408
224	25958	89413
225	26123	89467
226	26237	89345
227	26331	89157
228	26415	88936
229	26546	88872
230	26743	89029
231	26890	89015
232	27079	89142
233	27225	89121
234	27302	88879
235	27376	88625
236	27484	88484
237	27681	88627
238	27848	88671
239	28030	88762
240	28183	88758
241	28297	88633
242	28369	88378
243	28481	88244
244	28614	88178
245	28792	88250
246	28992	88386
247	29113	88279
248	29187	88030
249	29258	87775
250	29348	87578
251	29447	87406
252	29596	87386
253	29746	87366
254	29889	87324
255	29964	87084
256	30038	86843
257	30155	86727
258	30298	86685
259	30478	86746
260	30573	86565
261	30647	86326
262	30741	86146
263	30834	85963
264	30909	85730
265	31007	85561
266	31089	85351
267	31163	85117
268	31268	84972
269	31351	84763
270	31425	84534
271	31518	84359
272	31607	84169
273	31678	83936
274	31784	83794
275	31866	83592
276	31939	83366
277	32030	83187
278	32115	82994
279	32194	82784
280	32291	82626
281	32386	82458
282	32461	82243
283	32558	82084
284	32640	81887
285	32712	81667
286	32805	81498
287	32895	81325
